event,time,src,dst,packetName,srcPort,dstPort,pktLen
1,0.147791,10.1.0.24,10.1.0.42,normal,9001,9002,100
2,0.1609,10.1.0.25,10.1.0.42,normal,9001,9002,100
3,0.552271,10.1.0.21,10.1.0.42,normal,9001,9002,100
4,1.02911,10.1.0.22,10.1.0.42,normal,9001,9002,100
5,1.56111,10.1.0.11,10.1.0.42,normal,9001,9002,100
6,1.59029,10.1.0.12,10.1.0.42,normal,9001,9002,100
7,1.67751,10.1.0.18,10.1.0.42,normal,9001,9002,100
8,1.70928,10.1.0.14,10.1.0.42,normal,9001,9002,100
9,2.34922,10.1.0.18,10.1.0.42,normal,9001,9002,100
10,2.49937,10.1.0.7,10.1.0.42,normal,9001,9002,100
11,2.68706,10.1.0.11,10.1.0.42,normal,9001,9002,100
12,2.73092,10.1.0.10,10.1.0.42,normal,9001,9002,100
13,2.78784,10.1.0.20,10.1.0.42,normal,9001,9002,100
14,2.86207,10.1.0.9,10.1.0.42,normal,9001,9002,100
15,3.03005,10.1.0.14,10.1.0.42,normal,9001,9002,100
16,3.04061,10.1.0.12,10.1.0.42,normal,9001,9002,100
17,3.1977,10.1.0.8,10.1.0.42,normal,9001,9002,100
18,3.29378,10.1.0.11,10.1.0.42,normal,9001,9002,100
19,3.38466,10.1.0.9,10.1.0.42,normal,9001,9002,100
20,3.40246,10.1.0.16,10.1.0.42,normal,9001,9002,100
21,3.49044,10.1.0.1,10.1.0.42,normal,9001,9002,100
22,3.49071,10.1.0.7,10.1.0.42,normal,9001,9002,100
23,3.54611,10.1.0.3,10.1.0.42,normal,9001,9002,100
24,3.61257,10.1.0.10,10.1.0.42,normal,9001,9002,100
25,3.8432,10.1.0.5,10.1.0.42,normal,9001,9002,100
26,3.89857,10.1.0.9,10.1.0.42,normal,9001,9002,100
27,4.2669,10.1.0.8,10.1.0.42,normal,9001,9002,100
28,4.29414,10.1.0.10,10.1.0.42,normal,9001,9002,100
29,4.29596,10.1.0.7,10.1.0.42,normal,9001,9002,100
30,4.41468,10.1.0.6,10.1.0.42,normal,9001,9002,100
31,4.4228,10.1.0.1,10.1.0.42,normal,9001,9002,100
32,4.4986,10.1.0.3,10.1.0.42,normal,9001,9002,100
33,4.52858,10.1.0.12,10.1.0.42,normal,9001,9002,100
34,4.70148,10.1.0.5,10.1.0.42,normal,9001,9002,100
35,4.70779,10.1.0.2,10.1.0.42,normal,9001,9002,100
36,4.79181,10.1.0.4,10.1.0.42,normal,9001,9002,100
37,5.06134,10.1.0.8,10.1.0.42,normal,9001,9002,100
38,5.06388,10.1.0.10,10.1.0.42,normal,9001,9002,100
39,5.16725,10.1.0.12,10.1.0.42,normal,9001,9002,100
40,5.22222,10.1.0.2,10.1.0.42,normal,9001,9002,100
41,5.3331,10.1.0.1,10.1.0.42,normal,9001,9002,100
42,5.40552,10.1.0.5,10.1.0.42,normal,9001,9002,100
43,5.41326,10.1.0.4,10.1.0.42,normal,9001,9002,100
44,5.43025,10.1.0.6,10.1.0.42,normal,9001,9002,100
45,5.46499,10.1.0.3,10.1.0.42,normal,9001,9002,100
46,5.60472,10.1.0.7,10.1.0.42,normal,9001,9002,100
47,5.80846,10.1.0.8,10.1.0.42,normal,9001,9002,100
48,5.98586,10.1.0.3,10.1.0.42,normal,9001,9002,100
49,6.06797,10.1.0.1,10.1.0.42,normal,9001,9002,100
50,6.42992,10.1.0.2,10.1.0.42,normal,9001,9002,100
51,6.45114,10.1.0.4,10.1.0.42,normal,9001,9002,100
52,6.71837,10.1.0.6,10.1.0.42,normal,9001,9002,100
53,6.79139,10.1.0.8,10.1.0.42,normal,9001,9002,100
54,7.22676,10.1.0.33,10.1.0.42,normal,9001,9002,100
55,7.26873,10.1.0.37,10.1.0.42,normal,9001,9002,100
56,7.41648,10.1.0.35,10.1.0.42,normal,9001,9002,100
57,7.42158,10.1.0.6,10.1.0.42,normal,9001,9002,100
58,7.44218,10.1.0.34,10.1.0.42,normal,9001,9002,100
