event,time,src,dst,packetName,srcPort,dstPort,pktLen
1,1.2901,10.1.0.22,10.1.0.42,normal,9001,9002,100
2,1.34599,10.1.0.24,10.1.0.42,normal,9001,9002,100
3,1.49071,10.1.0.24,10.1.0.42,normal,9001,9002,100
4,1.57542,10.1.0.12,10.1.0.42,normal,9001,9002,100
5,1.71745,10.1.0.14,10.1.0.42,normal,9001,9002,100
6,1.92393,10.1.0.22,10.1.0.42,normal,9001,9002,100
7,2.00186,10.1.0.24,10.1.0.42,normal,9001,9002,100
8,2.36589,10.1.0.18,10.1.0.42,normal,9001,9002,100
9,2.78781,10.1.0.20,10.1.0.42,normal,9001,9002,100
10,3.03033,10.1.0.14,10.1.0.42,normal,9001,9002,100
11,3.04058,10.1.0.12,10.1.0.42,normal,9001,9002,100
12,3.09053,10.1.0.19,10.1.0.42,normal,9001,9002,100
13,3.22075,10.1.0.24,10.1.0.42,normal,9001,9002,100
14,3.23612,10.1.0.22,10.1.0.42,normal,9001,9002,100
15,3.26212,10.1.0.34,10.1.0.42,normal,9001,9002,100
16,3.40246,10.1.0.16,10.1.0.42,normal,9001,9002,100
17,3.64322,10.1.0.10,10.1.0.42,normal,9001,9002,100
18,3.83155,10.1.0.20,10.1.0.42,normal,9001,9002,100
19,4.19691,10.1.0.28,10.1.0.42,normal,9001,9002,100
20,4.29524,10.1.0.10,10.1.0.42,normal,9001,9002,100
21,4.41462,10.1.0.6,10.1.0.42,normal,9001,9002,100
22,4.42361,10.1.0.20,10.1.0.42,normal,9001,9002,100
23,4.47564,10.1.0.35,10.1.0.42,normal,9001,9002,100
24,4.54826,10.1.0.34,10.1.0.42,normal,9001,9002,100
25,4.91148,10.1.0.24,10.1.0.42,normal,9001,9002,100
26,4.94141,10.1.0.12,10.1.0.42,normal,9001,9002,100
27,4.96166,10.1.0.28,10.1.0.42,normal,9001,9002,100
28,5.06422,10.1.0.10,10.1.0.42,normal,9001,9002,100
29,5.07037,10.1.0.11,10.1.0.42,normal,9001,9002,100
30,5.07311,10.1.0.14,10.1.0.42,normal,9001,9002,100
